"inputRate","ACrange_round","File"
0.3,4,"stoch_highD_ACr_guessNA.csv"
0.35,2,"stoch_highD_ACr_guessNA.csv"
0.4,2,"stoch_highD_ACr_guessNA.csv"
0.45,10,"stoch_highD_ACr_guessNA.csv"
0.5,50,"stoch_highD_ACr_guessNA.csv"
0.55,36,"stoch_highD_ACr_guessNA.csv"
0.6,26,"stoch_highD_ACr_guessNA.csv"
0.65,16,"stoch_highD_ACr_guessNA.csv"
0.7,16,"stoch_highD_ACr_guessNA.csv"
0.75,16,"stoch_highD_ACr_guessNA.csv"
0.8,16,"stoch_highD_ACr_guessNA.csv"
0.85,16,"stoch_highD_ACr_guessNA.csv"
0.9,20,"stoch_highD_ACr_guessNA.csv"
0.95,26,"stoch_highD_ACr_guessNA.csv"
1,36,"stoch_highD_ACr_guessNA.csv"
1.05,22,"stoch_highD_ACr_guessNA.csv"
1.1,26,"stoch_highD_ACr_guessNA.csv"
1.15,38,"stoch_highD_ACr_guessNA.csv"
1.2,36,"stoch_highD_ACr_guessNA.csv"
1.25,46,"stoch_highD_ACr_guessNA.csv"
1.3,4,"stoch_highD_ACr_guessNA.csv"
1.35,2,"stoch_highD_ACr_guessNA.csv"
1.4,2,"stoch_highD_ACr_guessNA.csv"
1.45,2,"stoch_highD_ACr_guessNA.csv"
1.5,2,"stoch_highD_ACr_guessNA.csv"
1.55,2,"stoch_highD_ACr_guessNA.csv"
1.6,2,"stoch_highD_ACr_guessNA.csv"
1.65,2,"stoch_highD_ACr_guessNA.csv"
1.7,2,"stoch_highD_ACr_guessNA.csv"
1.75,2,"stoch_highD_ACr_guessNA.csv"
1.8,2,"stoch_highD_ACr_guessNA.csv"
